Age,Deaths,Exposure,Graduation1,Graduation2,Graduation3
55,638,94098.88702,0.006902862,0.006244268,0.006759404
56,740,105349.0815,0.007215436,0.006718273,0.00714223
57,886,114985.1972,0.007594792,0.007256147,0.007577422
58,979,122192.5412,0.008052122,0.007865697,0.008076323
59,1105,126375.3043,0.008599877,0.008555814,0.008651904
60,1495,160419.3615,0.009251802,0.009336605,0.009318828
61,1636,165483.9706,0.010022968,0.010219517,0.010093478
62,1900,172754.4207,0.010929787,0.011217498,0.010993946
63,2181,179454.4854,0.011990021,0.012345144,0.01204
64,2518,184966.9039,0.013222781,0.013618876,0.013253008
65,3192,224388.9667,0.01464851,0.015057112,0.014655839
66,3704,223679.3815,0.016288975,0.016680451,0.016272739
67,4109,219384.003,0.018167247,0.018511857,0.01812919
68,4250,214762.2924,0.020307686,0.020576836,0.020251764
69,4727,211362.3873,0.022735933,0.022903615,0.022667984
70,5101,209143.3963,0.025478912,0.02552329,0.0254062
71,5928,206744.8268,0.028564854,0.028469959,0.028495495
72,6575,203030.9953,0.032023338,0.031780812,0.03196564
73,7165,198043.412,0.035885363,0.035496166,0.035847102
74,7766,192128.2925,0.040183458,0.039659442,0.040171123
75,8340,184749.2628,0.044951831,0.044317048,0.044969886
76,8855,176531.9072,0.050226569,0.04951816,0.050276771
77,9580,167584.8421,0.056045893,0.055314374,0.056126722
78,9823,157793.7643,0.062450475,0.061759205,0.062556728
79,10319,148307.0938,0.069483835,0.068907416,0.069606432
80,10616,138579.5254,0.077192803,0.076814142,0.07731888
81,10620,125677.6225,0.085628091,0.085533793,0.085741426
82,10297,108501.2451,0.094844949,0.095118716,0.094926804
83,9494,90328.40004,0.104903944,0.105617602,0.104934384
84,8514,73935.03309,0.115871864,0.11707363,0.11583165
85,7677,60330.14105,0.127822772,0.129522343,0.127695911
86,7242,49520.74164,0.14083922,0.142989288,0.140616305
87,6492,42327.64615,0.155013657,0.157487431,0.154696127
88,6000,35691.7317,0.170450062,0.173014399,0.170055567
89,5422,28690.40929,0.187265824,0.189549625,0.186834912
90,4426,21829.97934,0.205593931,0.20705147,0.205198346
91,3609,16057.93535,0.225585509,0.22545444,0.225338449
92,2844,11471.93993,0.247412775,0.244666621,0.247481578
93,2147,7856.74957,0.27127249,0.264567499,0.271894324
94,1622,5331.048005,0.297389997,0.285006306,0.298891316
95,1131,3532.538304,0.326023966,0.305801094,0.328844679
